,100,200,300,400,500,600,700,800,900,1000
2000,4680,4884,4588,4632,4892,4888,4680,4880,4864,4884
4000,5948,5840,5836,5952,5732,6032,5780,5732,6032,5944
6000,7200,6900,7120,6896,6912,7192,7116,7116,7000,7172
8000,8372,8232,8372,8224,8444,8516,8436,8276,8228,8244
10000,9352,9480,9544,9468,9632,9548,9552,9636,9548,9380
12000,10828,10560,10852,10656,10684,10700,10600,10556,10856,10560
14000,11716,11588,11584,11728,11684,11632,11660,11792,11796,11876
16000,12768,12808,12884,12876,12960,12676,12676,12952,12880,12668
18000,14388,14148,14152,14240,14364,14164,14244,14248,14192,14436
20000,15240,15540,15448,15252,15332,15240,15372,15288,15448,15372
