,100,200,300,400,500,600,700,800,900,1000
2000,0.8,1.45,2.11,2.8,3.16,3.61,3.85,6.78,4.7,5.73
4000,0.81,1.52,3,2.85,3.26,3.52,3.89,5.27,4.65,5.1
6000,0.92,1.55,2.08,2.83,3.18,3.56,6.17,4.29,4.71,5.39
8000,0.82,1.48,2.11,2.88,3.19,3.67,5.68,4.28,4.62,5.04
10000,0.87,1.44,2.13,2.83,3.2,3.64,3.88,4.32,4.68,7.9
12000,0.96,1.46,2.09,2.95,3.21,3.6,3.91,6.69,4.67,5.1
14000,4.22,8.41,14.04,16.68,20.23,22.68,23.09,27.96,28.95,30.62
16000,4.76,8.87,12.32,18.06,19.96,21.74,24.49,26.06,29.15,30.72
18000,4.79,10.11,12.82,17.89,18.84,22.76,24.35,28.1,28.22,32.61
20000,4.73,8.96,13.18,17.22,19.51,22.05,23.96,26.51,29.04,30.88
