,100,200,300,400,500,600,700,800,900,1000
2000,4836,4696,4728,4836,4688,4900,4836,4680,4740,4784
4000,6040,6028,6052,5832,5832,5980,5832,6052,6048,6028
6000,7148,7004,6996,7140,7212,7132,7004,7212,7144,7000
8000,8376,8324,8544,8532,8472,8472,8324,8544,8532,8532
10000,9568,9652,9564,9440,9648,9576,9580,9628,9648,9628
12000,10852,10648,10852,10700,10804,10804,10668,10860,10700,10712
14000,11900,11740,11824,11740,11896,11676,11728,11680,11900,11904
16000,12956,12956,12968,12984,12976,12760,12736,12756,12912,12972
18000,14260,14460,14304,14328,14456,14244,14460,14292,14464,14252
20000,15480,15392,15560,15336,15552,15472,15344,15396,15316,15348
