,100,200,300,400,500,600,700,800,900,1000
2000,10.39,9.9,10.1,10.86,10.28,10.35,11.04,10.6,10.91,11.1
4000,9.77,9.92,10.42,10.11,10.34,10.75,10.79,10.69,10.82,11.12
6000,9.88,9.88,10.55,10.16,10.3,10.69,10.44,11,10.81,10.82
8000,10.2,9.9,10.13,10.58,10.19,10.36,10.95,10.61,10.81,11.28
10000,9.84,9.9,10.51,10.15,10.31,10.79,10.43,11.01,11.08,10.7
12000,9.95,10.29,10.06,10.13,10.59,10.3,10.41,10.98,10.78,10.74
14000,10.14,9.9,10.12,10.54,10.23,10.4,10.68,10.65,10.97,10.75
16000,9.81,10.24,10.16,10.13,10.61,10.3,10.39,11.02,10.78,10.75
18000,10.14,10.14,10.53,10.16,10.24,10.69,10.38,11.07,10.91,10.76
20000,10.36,9.9,10.12,10.63,10.3,10.33,10.8,10.77,10.78,11.16
