,100,200,300,400,500,600,700,800,900,1000
2000,13848,26136,50712,50712,50712,99864,99864,99864,99864,99864
4000,15012,27300,51876,51876,51876,101028,101028,101028,101028,101028
6000,16384,28672,53248,53248,53248,102400,102400,102400,102400,102400
8000,17484,29772,54348,54348,54348,103500,103500,103500,103500,103500
10000,18852,31140,55716,55716,55716,104868,104868,104868,104868,104868
12000,20156,32444,57020,57020,57020,106172,106172,106172,106172,106172
14000,21272,33560,58136,58136,58136,107288,107288,107288,107288,107288
16000,22380,34668,59244,59244,59244,108396,108396,108396,108396,108396
18000,24080,36368,60944,60944,60944,110096,110096,110096,110096,110096
20000,25192,37480,62056,62056,62056,111208,111208,111208,111208,111208
