,100,200,300,400,500,600,700,800,900,1000
2000,33896,46184,70760,70760,70760,119912,119912,119912,119912,119912
4000,35060,47348,71924,71924,71924,121076,121076,121076,121076,121076
6000,36432,48720,73296,73296,73296,122448,122448,122448,122448,122448
8000,37532,49820,74396,74396,74396,123548,123548,123548,123548,123548
10000,38900,51188,75764,75764,75764,124916,124916,124916,124916,124916
12000,40204,52492,77068,77068,77068,126220,126220,126220,126220,126220
14000,41320,53608,78184,78184,78184,127336,127336,127336,127336,127336
16000,42428,54716,79292,79292,79292,128444,128444,128444,128444,128444
18000,44128,56416,80992,80992,80992,130144,130144,130144,130144,130144
20000,45240,57528,82104,82104,82104,131256,131256,131256,131256,131256
